NAME,LATITUDE,LONGITUDE
CLARENDON ROW,53.3409,-6.2625
BLESSINGTON STREET,53.3568,-6.26814
BOLTON STREET,53.3512,-6.26986
GREEK STREET,53.3469,-6.27298
CHARLEMONT PLACE,53.3307,-6.26018
CHRISTCHURCH PLACE,53.3434,-6.27012
HIGH STREET,53.3436,-6.27507
CUSTOM HOUSE QUAY,53.3479,-6.24805
EXCHEQUER STREET,53.343,-6.26358
DAME STREET,53.344,-6.2668
EARLSFORT TERRACE,53.3343,-6.2585
ECCLES STREET,53.3592,-6.26978
FITZWILLIAM SQUARE WEST,53.3361,-6.25282
FOWNES STREET UPPER,53.3446,-6.26337
HARDWICKE STREET,53.3555,-6.26442
GEORGES QUAY,53.3475,-6.25219
GOLDEN LANE,53.3408,-6.26773
GRANTHAM STREET,53.3341,-6.26544
HERBERT PLACE,53.3344,-6.24557
JAMES STREET EAST,53.3366,-6.24811
LEINSTER STREET SOUTH,53.3422,-6.25449
TOWNSEND STREET,53.3459,-6.25461
CUSTOM HOUSE,53.3483,-6.25466
CATHAL BRUGHA STREET,53.3521,-6.26053
MERRION SQUARE EAST,53.3394,-6.24655
MERRION SQUARE WEST,53.3398,-6.25199
MOLESWORTH STREET,53.3413,-6.25812
MOUNTJOY SQUARE WEST,53.3563,-6.25859
ORMOND QUAY UPPER,53.3461,-6.268
PARNELL SQUARE NORTH,53.3535,-6.26531
PARNELL STREET,53.3509,-6.26512
PEARSE STREET,53.3443,-6.25043
PRINCES STREET / O'CONNELL STREET,53.349,-6.26031
PORTOBELLO HARBOUR,53.3304,-6.26516
SMITHFIELD,53.3477,-6.27821
ST. STEPHEN'S GREEN EAST,53.3378,-6.25603
ST. STEPHEN'S GREEN SOUTH,53.3375,-6.26199
TALBOT STREET,53.351,-6.25294
WILTON TERRACE,53.3324,-6.25272
JERVIS STREET,53.3483,-6.26665
HARCOURT TERRACE,53.3328,-6.25794
SMITHFIELD NORTH,53.3496,-6.2782
PORTOBELLO ROAD,53.3301,-6.26804
UPPER SHERRARD STREET,53.3584,-6.26064
DEVERELL PLACE,53.3515,-6.25527
HERBERT STREET,53.3357,-6.24551
EXCISE WALK,53.3478,-6.24424
GUILD STREET,53.3479,-6.24093
GEORGES LANE,53.3502,-6.2797
YORK STREET WEST,53.3393,-6.2647
YORK STREET EAST,53.3388,-6.262
NEWMAN HOUSE,53.3371,-6.26059
CLONMEL STREET,53.336,-6.26298
HATCH STREET,53.334,-6.26071
MOUNT STREET LOWER,53.338,-6.24153
GRATTAN STREET,53.3396,-6.24378
SIR PATRICK DUN'S,53.3392,-6.24064
DENMARK STREET GREAT,53.3556,-6.2614
NORTH CIRCULAR ROAD,53.3596,-6.26035
HARDWICKE PLACE,53.357,-6.26323
LIME STREET,53.346,-6.24358
FENIAN STREET,53.3414,-6.24672
SANDWITH STREET,53.3452,-6.24716
CONVENTION CENTRE,53.3474,-6.23852
NEW CENTRAL BANK,53.3471,-6.23475
THE POINT,53.3469,-6.23085
HANOVER QUAY,53.3441,-6.23715
GRAND CANAL DOCK,53.3426,-6.2387
KEVIN STREET,53.3378,-6.2677
JOHN STREET WEST,53.3431,-6.27717
FRANCIS STREET,53.3421,-6.27523
OLIVER BOND STREET,53.3439,-6.28053
JAMES STREET,53.3435,-6.28741
MARKET STREET SOUTH,53.3423,-6.28766
WOLFE TONE STREET,53.3489,-6.26746
MATER HOSPITAL,53.36,-6.26483
ECCLES STREET EAST,53.3581,-6.2656
ST JAMES HOSPITAL (LUAS),53.3414,-6.29295
MOUNT BROWN,53.3416,-6.29719
EMMET ROAD,53.3407,-6.30819
BROOKFIELD ROAD,53.339,-6.30022
ROTHE ABBEY,53.3388,-6.30395
PARKGATE STREET,53.348,-6.2918
COLLINS BARRACKS MUSEUM,53.3475,-6.28525
BLACKHALL PLACE,53.3488,-6.28164
FITZWILLIAM SQUARE EAST,53.3352,-6.2509
BENSON STREET,53.3442,-6.23345
SOUTH DOCK ROAD,53.3418,-6.23129
HEUSTON BRIDGE (NORTH),53.3478,-6.29243
HEUSTON STATION (CENTRAL),53.3466,-6.29692
HEUSTON STATION (CAR PARK),53.347,-6.2978
ROYAL HOSPITAL,53.3439,-6.29706
KILMAINHAM LANE,53.3418,-6.30509
KILMAINHAM GAOL,53.3421,-6.31002
FREDERICK STREET SOUTH,53.3415,-6.25685
CITY QUAY,53.3466,-6.24615
HEUSTON BRIDGE (SOUTH),53.3471,-6.29204
KING STREET NORTH,53.3503,-6.27351
WESTERN WAY,53.3549,-6.26942
GRANGEGORMAN LOWER (SOUTH),53.3547,-6.27868
GRANGEGORMAN LOWER (CENTRAL),53.3552,-6.27842
GRANGEGORMAN LOWER (NORTH),53.356,-6.27838
RATHDOWN ROAD,53.3589,-6.28034
CHARLEVILLE ROAD,53.3592,-6.28187
AVONDALE ROAD,53.3594,-6.27614
BUCKINGHAM STREET LOWER,53.3533,-6.24932
PHIBSBOROUGH ROAD,53.3563,-6.27372
MOUNTJOY SQUARE EAST,53.3567,-6.25636
NORTH CIRCULAR ROAD (O'CONNELL'S),53.3578,-6.25156
MERRION SQUARE SOUTH,53.3386,-6.24861
WILTON TERRACE (PARK),53.3337,-6.24834
KILLARNEY STREET,53.3548,-6.24758
BROADSTONE,53.3547,-6.27231
HANOVER QUAY EAST,53.3437,-6.23175
