NAME,pct_empty_morning
BROADSTONE,55.08474576271186
CUSTOM HOUSE QUAY,49.152542372881356
HEUSTON BRIDGE (SOUTH),39.40677966101695
HARDWICKE STREET,37.71186440677966
PORTOBELLO ROAD,34.32203389830508
GRANGEGORMAN LOWER (CENTRAL),33.89830508474576
FRANCIS STREET,31.451612903225808
BLESSINGTON STREET,28.389830508474578
MOUNTJOY SQUARE EAST,27.54237288135593
NORTH CIRCULAR ROAD (O'CONNELL'S),24.576271186440678
PORTOBELLO HARBOUR,24.576271186440678
HIGH STREET,24.576271186440678
ECCLES STREET,22.88135593220339
CHARLEMONT PLACE,22.45762711864407
GRANGEGORMAN LOWER (NORTH),21.1864406779661
AVONDALE ROAD,20.33898305084746
JOHN STREET WEST,20.33898305084746
MARKET STREET SOUTH,18.64406779661017
CHRISTCHURCH PLACE,18.64406779661017
WESTERN WAY,18.64406779661017
KING STREET NORTH,18.64406779661017
KILMAINHAM LANE,18.220338983050848
UPPER SHERRARD STREET,18.220338983050848
PHIBSBOROUGH ROAD,17.796610169491526
NORTH CIRCULAR ROAD,17.796610169491526
HARDWICKE PLACE,17.372881355932204
MOUNTJOY SQUARE WEST,16.94915254237288
HEUSTON STATION (CENTRAL),16.94915254237288
HATCH STREET,16.94915254237288
CHARLEVILLE ROAD,16.94915254237288
DENMARK STREET GREAT,16.52542372881356
PARNELL SQUARE NORTH,16.52542372881356
MOUNT BROWN,14.40677966101695
KILMAINHAM GAOL,13.559322033898304
HARCOURT TERRACE,13.135593220338984
RATHDOWN ROAD,12.288135593220339
COLLINS BARRACKS MUSEUM,12.288135593220339
WILTON TERRACE,11.864406779661017
PARKGATE STREET,11.864406779661017
HEUSTON STATION (CAR PARK),11.440677966101696
BLACKHALL PLACE,11.016949152542372
BROOKFIELD ROAD,10.59322033898305
OLIVER BOND STREET,9.745762711864407
JAMES STREET EAST,9.745762711864407
BOLTON STREET,9.322033898305085
FITZWILLIAM SQUARE EAST,9.322033898305085
ECCLES STREET EAST,9.322033898305085
KEVIN STREET,9.322033898305085
PARNELL STREET,8.898305084745763
GOLDEN LANE,8.898305084745763
EMMET ROAD,8.47457627118644
ROTHE ABBEY,8.47457627118644
WOLFE TONE STREET,8.050847457627118
GEORGES LANE,7.627118644067797
JAMES STREET,7.627118644067797
ROYAL HOSPITAL,7.627118644067797
HEUSTON BRIDGE (NORTH),7.203389830508475
ST. STEPHEN'S GREEN SOUTH,6.779661016949152
GRANGEGORMAN LOWER (SOUTH),6.779661016949152
FITZWILLIAM SQUARE WEST,6.779661016949152
CITY QUAY,6.3559322033898304
HERBERT STREET,5.932203389830509
GRATTAN STREET,5.508474576271186
GRANTHAM STREET,5.508474576271186
CONVENTION CENTRE,5.084745762711865
KILLARNEY STREET,4.661016949152542
NEWMAN HOUSE,4.661016949152542
MERRION SQUARE SOUTH,4.661016949152542
ORMOND QUAY UPPER,3.8135593220338984
PEARSE STREET,3.8135593220338984
DEVERELL PLACE,3.389830508474576
EARLSFORT TERRACE,3.389830508474576
YORK STREET WEST,3.389830508474576
FENIAN STREET,2.9661016949152543
HANOVER QUAY EAST,2.9661016949152543
ST JAMES HOSPITAL (LUAS),2.9661016949152543
MERRION SQUARE WEST,2.9661016949152543
SMITHFIELD,2.9661016949152543
MATER HOSPITAL,2.5423728813559325
TOWNSEND STREET,2.5423728813559325
SMITHFIELD NORTH,2.11864406779661
BUCKINGHAM STREET LOWER,2.11864406779661
DAME STREET,2.11864406779661
EXCHEQUER STREET,1.694915254237288
GUILD STREET,1.694915254237288
WILTON TERRACE (PARK),1.2711864406779663
CATHAL BRUGHA STREET,1.2711864406779663
THE POINT,1.2711864406779663
SOUTH DOCK ROAD,0.847457627118644
LEINSTER STREET SOUTH,0.847457627118644
LIME STREET,0.847457627118644
BENSON STREET,0.847457627118644
EXCISE WALK,0.847457627118644
HANOVER QUAY,0.847457627118644
MERRION SQUARE EAST,0.847457627118644
GEORGES QUAY,0.847457627118644
FOWNES STREET UPPER,0.423728813559322
GRAND CANAL DOCK,0.423728813559322
CLARENDON ROW,0.423728813559322
JERVIS STREET,0.423728813559322
YORK STREET EAST,0.423728813559322
SIR PATRICK DUN'S,0.423728813559322
GREEK STREET,0.423728813559322
MOUNT STREET LOWER,0.423728813559322
FREDERICK STREET SOUTH,0.0
CLONMEL STREET,0.0
CUSTOM HOUSE,0.0
NEW CENTRAL BANK,0.0
MOLESWORTH STREET,0.0
HERBERT PLACE,0.0
ORIEL STREET TEST TERMINAL,0.0
SANDWITH STREET,0.0
PRINCES STREET / O'CONNELL STREET,0.0
TALBOT STREET,0.0
ST. STEPHEN'S GREEN EAST,0.0
