STATION ID,TIME,LAST UPDATED,NAME,BIKE_STANDS,AVAILABLE_BIKE_STANDS,AVAILABLE_BIKES,STATUS,ADDRESS,LATITUDE,LONGITUDE
1,2023-08-01 00:00:03,2023-07-31 23:57:52,CLARENDON ROW,31,30,1,OPEN,Clarendon Row,53.3409,-6.2625
2,2023-08-01 00:00:03,2023-07-31 23:58:10,BLESSINGTON STREET,20,1,19,OPEN,Blessington Street,53.3568,-6.26814
3,2023-08-01 00:00:03,2023-07-31 23:51:04,BOLTON STREET,20,19,1,OPEN,Bolton Street,53.3512,-6.26986
4,2023-08-01 00:00:03,2023-07-31 23:49:35,GREEK STREET,20,20,0,OPEN,Greek Street,53.3469,-6.27298
5,2023-08-01 00:00:03,2023-07-31 23:53:07,CHARLEMONT PLACE,40,1,39,OPEN,Charlemont Street,53.3307,-6.26018
6,2023-08-01 00:00:03,2023-07-31 23:57:56,CHRISTCHURCH PLACE,20,14,6,OPEN,Christchurch Place,53.3434,-6.27012
7,2023-08-01 00:00:03,2023-07-31 23:57:55,HIGH STREET,29,9,20,OPEN,High Street,53.3436,-6.27507
8,2023-08-01 00:00:03,2023-07-31 23:57:50,CUSTOM HOUSE QUAY,30,0,0,OPEN,Custom House Quay,53.3479,-6.24805
9,2023-08-01 00:00:03,2023-07-31 23:50:57,EXCHEQUER STREET,24,24,0,OPEN,Exchequer Street,53.343,-6.26358
10,2023-08-01 00:00:03,2023-07-31 23:51:45,DAME STREET,16,11,5,OPEN,Dame Street,53.344,-6.2668
11,2023-08-01 00:00:03,2023-07-31 23:55:47,EARLSFORT TERRACE,30,26,4,OPEN,Earlsfort Terrace,53.3343,-6.2585
12,2023-08-01 00:00:03,2023-07-31 23:57:02,ECCLES STREET,20,12,8,OPEN,Eccles Street,53.3592,-6.26978
13,2023-08-01 00:00:03,2023-07-31 23:57:48,FITZWILLIAM SQUARE WEST,30,29,1,OPEN,Fitzwilliam Square West,53.3361,-6.25282
14,2023-08-01 00:00:03,2023-07-31 23:51:24,FOWNES STREET UPPER,30,14,16,OPEN,Fownes Street Upper,53.3446,-6.26337
15,2023-08-01 00:00:03,2023-07-31 23:50:08,HARDWICKE STREET,16,13,3,OPEN,Hardwicke Street,53.3555,-6.26442
16,2023-08-01 00:00:03,2023-07-31 23:56:52,GEORGES QUAY,20,20,0,OPEN,Georges Quay,53.3475,-6.25219
17,2023-08-01 00:00:03,2023-07-31 23:57:47,GOLDEN LANE,20,19,1,OPEN,Golden Lane,53.3408,-6.26773
18,2023-08-01 00:00:03,2023-07-31 23:51:30,GRANTHAM STREET,30,1,28,OPEN,Grantham Street,53.3341,-6.26544
19,2023-08-01 00:00:03,2023-07-31 23:52:36,HERBERT PLACE,30,27,3,OPEN,Herbert Place,53.3344,-6.24557
20,2023-08-01 00:00:03,2023-07-31 23:50:47,JAMES STREET EAST,30,30,0,OPEN,James Street East,53.3366,-6.24811
21,2023-08-01 00:00:03,2023-07-31 23:57:56,LEINSTER STREET SOUTH,30,20,10,OPEN,Leinster Street South,53.3422,-6.25449
22,2023-08-01 00:00:03,2023-07-31 23:59:03,TOWNSEND STREET,20,19,1,OPEN,Townsend Street,53.3459,-6.25461
23,2023-08-01 00:00:03,2023-07-31 23:53:06,CUSTOM HOUSE,30,27,3,OPEN,Custom House,53.3483,-6.25466
24,2023-08-01 00:00:03,2023-07-31 23:51:14,CATHAL BRUGHA STREET,20,19,1,OPEN,Cathal Brugha Street,53.3521,-6.26053
25,2023-08-01 00:00:03,2023-07-31 23:50:30,MERRION SQUARE EAST,30,27,3,OPEN,Merrion Square East,53.3394,-6.24655
26,2023-08-01 00:00:03,2023-07-31 23:55:50,MERRION SQUARE WEST,20,8,12,OPEN,Merrion Square West,53.3398,-6.25199
27,2023-08-01 00:00:03,2023-07-31 23:57:43,MOLESWORTH STREET,20,20,0,OPEN,Molesworth Street,53.3413,-6.25812
28,2023-08-01 00:00:03,2023-07-31 23:51:06,MOUNTJOY SQUARE WEST,30,2,28,OPEN,Mountjoy Square West,53.3563,-6.25859
29,2023-08-01 00:00:03,2023-07-31 23:55:28,ORMOND QUAY UPPER,29,27,2,OPEN,Ormond Quay Upper,53.3461,-6.268
30,2023-08-01 00:00:03,2023-07-31 23:50:11,PARNELL SQUARE NORTH,20,19,1,OPEN,Parnell Square North,53.3535,-6.26531
31,2023-08-01 00:00:03,2023-07-31 23:57:54,PARNELL STREET,20,16,4,OPEN,Parnell Street,53.3509,-6.26512
32,2023-08-01 00:00:03,2023-07-31 23:59:02,PEARSE STREET,30,18,12,OPEN,Pearse Street,53.3443,-6.25043
33,2023-08-01 00:00:03,2023-07-31 23:51:59,PRINCES STREET / O'CONNELL STREET,23,22,1,OPEN,Princes Street / O'Connell Street,53.349,-6.26031
34,2023-08-01 00:00:03,2023-07-31 23:52:03,PORTOBELLO HARBOUR,30,1,29,OPEN,Portobello Harbour,53.3304,-6.26516
35,2023-08-01 00:00:03,2023-07-31 23:51:29,SMITHFIELD,30,1,29,OPEN,Smithfield,53.3477,-6.27821
